predicted,actual
5107.22,5103
4596.99,4453
41572.09,41269
56589.14,56588
5077.01,7426
51410.01,50361
21156.42,21631
4485.5,4294
4501.0,4501
3116.66,3071
11811.73,8064
9170.72,10891
11408.42,12843
4405.0,5939
8957.11,9168
41101.0,41101
45257.0,45257
10972.84,10744
5856.71,6181
4807.01,4402
13216.66,13734
9473.51,7959
2134.6,2124
8021.12,8081
5096.95,4494
53152.0,71044
53606.6,53209
7030.94,6275
22537.0,22140
4673.2,4672
9187.13307142857,9726
6810.6,6488
4666.8975,5098
4984.68,4979
60260.0,60260
52662.44,59033
4500.0,4496
67710.0,67710
4632.65,4660
9720.54,9274
4524.35,4646
2140.96,2124
73369.0,73369
10628.49,10638
8425.7,8366
5206.0,5206
6224.09,5888
2178.45,2124
5253.32,5188
5375.21,5293
4819.74,4453
2228.0,2228
8546.18,7959
5969.7,5955
41101.0,41101
17392.73,15032
6328.57,6200
4039.48,4234
15686.59,13944
4897.945,4896
5909.84,5760
7179.605833333334,6271
62230.54666666666,62045
53387.11,53164
54608.0,54608
3450.0,3450
4612.0,4612
39718.05,39321
6568.0,6568
3671.64,3625
4321.27,4348
6000.86,4001
5737.655,4348
11140.86,9377
11808.78,11319
4363.0,4363
15125.41,12780
4503.12,4416
5432.31,5232
28913.2,28510
6580.73,6568
8604.57,10638
3852.6,3860
6159.19,5888
2675.71,2727
4862.12,5042
4686.918333333334,4223
58443.61,56588
10473.18,9904
27864.0,27864
4311.77,4276
1830.0,1830
37863.63,37846
5053.963333333334,5041
6564.76,7437
57017.0,57017
4223.88,4239
32923.0,32923
54925.26,49553
3425.02,3569
70449.48,64173
34460.0,34460
6627.0,6590
8039.67,8148
3382.97,3437
5728.66,5700
32923.0,32923
13179.44,13014
5177.0,5177
5467.33,5322
51817.0,51817
45800.39,45883
68378.85333333333,82751
6081.6,5883
49613.0,49613
56590.0,56590
4998.59,5037
2339.0,2339
62184.18,60508
5698.99,6128
6196.89,6502
41064.0,41064
7664.94,7910
4688.69,5099
6568.0,6568
6296.21,6067
59359.21,56273
5427.4,5339
4431.41,4336
6067.0,6067
42521.0,42521
3427.17,3306
41281.0,41281
5244.23,5939
69144.2,59254
60860.83,65944
6274.3,6009
5964.04,6171
11891.81,11675
3438.48,3397
3570.84,4189
8745.14,8396
61873.0,61873
15099.33,16204
2410.0,2410
13176.99,13339
15963.85,15204
8711.05,8790
4730.24,4589
4401.8,4620
47511.25,47395
3864.74,3862
66572.85,71058
7683.51,8112
4507.3,4499
60396.0,60396
5076.23,5145
10017.45,9840
3145.54,2361
7935.75,13077
6727.35,4933
10587.63,10703
13092.34,10575
7895.238571428572,7697
4417.0,4417
9788.59,9849
4952.62,5723
68954.85,67094
22979.0,22140
9369.73,9277
63242.76,55377
8593.84,11100
58125.0,65517
52063.0,52063
54608.0,54608
57939.32,51697
5661.41,4190
9330.14,9201
6578.44,6292
8355.05,5103
4818.08,4757
45693.0,45693
49915.88,49553
4257.24,4229
3659.99,3782
60836.91,60555
60260.0,60260
70455.9,67945
11424.99,8064
76790.92,76612
3516.17,5959
52457.4,51819
11436.13,10069
6659.59,6292
6685.76,6254
9987.75,10018
5580.98,5648
44280.0,44280
6591.56,7022
3253.83,3105
73432.3,75821
5227.29,5504
8310.67,7976
11108.536333333333,11205
7201.17,7317
5741.32,8076
80707.58,80511
55218.86666666667,57017
60342.635,55983
9866.3,6489
5012.11,4917
6172.87,6724
49613.0,49613
12433.12,17388
4483.87,3938
7408.33,7650
66896.33,60260
14307.6,10616
86317.77,84756
5001.512,5797
4880.78,4810
9575.89,8379
6620.355,7467
4323.88,4477
17323.27,17535
5703.72,6663
13638.9,13410
41064.0,41064
48484.21,31721
5335.36,5284
10987.06,10425
7935.56,6840
13156.186666666665,12054
49804.41,49725
5817.0,5817
2479.17,2050
37451.36,37526
12113.42,12138
6597.63,6488
6067.0,6067
11818.03,11508
73605.0,76545
3361.06,3324
4918.09,5092
6066.14,5910
52161.98,51707
9416.82,9353
4922.53,3916
51707.0,51707
12427.785,13455
5729.06,4202
79091.4,67141
6052.03,6048
4163.7,4149
9929.26,7196
51886.84,51697
4283.47,4086
9545.29,9201
4701.22,3674
6306.76,6367
57192.6,56991
64575.18,64729
49553.0,49553
15975.145833333332,13588
15276.9,15615
1166.63,1105
5881.17,5950
49613.0,49613
49791.56,49553
10096.22,10018
11409.33,12362
5855.0,5761
55377.0,55377
6504.45,6502
40843.0,40843
7690.48,7291
5901.42,5163
4004.82,4001
54684.0,54684
11282.04,11383
6275.41,6133
45883.0,45883
23944.0,23944
6158.15,6473
13745.5,12791
4219.5,4048
4499.0,4499
6324.0,6324
5118.07,4258
4672.0,4672
13112.95,15204
6315.84,6200
12560.18,10318
15876.48,16212
5986.05,6311
8594.35,8321
7600.1,7576
5893.66,5881
7397.54,7413
6969.685,6461
11774.38,12389
4712.66,4672
45435.0,45435
3389.13,3433
60260.0,60260
5045.34,5136
41281.0,41281
6206.12,6578
4161.72,3916
51237.61,51595
45257.0,45257
6034.46,5950
61544.56,57017
6739.33,7221
6265.56,6276
60978.0,60978
5950.19,6502
54564.51,54684
4269.0,4263
4718.99,4799
4026.15,4020
5984.8,5955
12420.9,12768
11203.3,11617
44432.0,44432
5324.51,5246
7514.76,6977
6998.22,7283
45805.0,45805
5116.7,5483
51595.0,51595
60631.0,60631
57396.63,58223
57017.0,57017
1892.34,1890
14250.02,15268
3408.97,4855
4676.31,7346
9054.45,9896
5201.33,5102
6374.44,6137
9872.98,9798
45883.0,45883
13352.0,16099
4653.58,4756
49725.0,49725
11627.37,11520
74586.17,74265
52800.24,47702
11605.87,11448
4500.99,4501
6106.096666666667,5012
11139.18,11129
3408.4,3379
5622.0,5622
84163.5,73231
5228.27,4649
51222.26,54003
4415.08,5178
5859.75,5760
10682.61,11307
4217.96,4229
6237.17,6502
13862.63,12454
3433.27,3393
4499.0,4499
11830.14,13200
50969.0,50969
11488.73,11520
3537.12,2480
2506.25,2339
26776.6,22869
11137.8,11452
5653.61,6360
57016.46,62560
7957.66,15552
4814.78,4827
9468.28,7774
6289.41,8112
6036.58,6258
57646.48,57003
5840.41,5977
75023.0,66063
4842.94,4363
53743.0,53743
4246.426666666667,3594
23944.0,23944
4694.86,4190
58599.36,56702
2232.35,2074
7480.866666666668,7446
51053.705,33979
4499.99,4500
6008.27,5955
42521.0,42521
4976.74,4893
5061.3,4971
7856.83,7813
54916.49,47384
6338.8,6324
51817.0,51817
1984.72,1755
6156.23,5943
8808.67,8803
46258.0,45995
55428.16,62729
20742.64,20684
3109.25,3108
44548.01,44280
7049.18,5706
61309.52,60978
2241.71,2105
48851.0,48851
8090.25,8112
5116.32,4007
4111.0,4111
8456.82,11953
14070.74,12150
38099.0,41974
38723.85,37658
1604.88,1543
61416.64,60160
1822.75,1105
5466.25,5037
2638.36,2057
4068.36,4071
7042.6,7366
6013.35,6181
4827.0,4827
55377.0,55377
74844.38,70431
7400.67,7763
7076.23,7021
6107.64,5632
1443.0,1443
10826.19,10744
11092.2225,12812
54684.0,54684
66063.0,66063
3770.73,5220
7353.0,7353
6447.68,7413
2785.79,2723
6068.8,6176
11788.693333333335,11617
3830.04,4031
4816.34,4417
11129.0,11129
11539.203333333335,10522
5150.55,4453
63794.92,69825
49804.2,49177
54896.0,54896
7961.87,7950
3336.9,3234
6151.5,7322
20356.0,20356
4536.68,4452
77943.5,77949
2174.96,2124
6502.0,6502
8111.0,8111
6717.23,7335
5959.41,5954
7208.66,7487
3965.0,3965
6225.94,6010
10722.08,15535
60396.0,60396
5598.0,5696
3998.0,3998
4666.4,4417
7481.61,5942
53559.7,53512
4373.82,4363
5757.83,5177
41101.0,41101
5892.32,5390
17984.85,12108
6031.305833333333,6032
6255.78,4879
13316.95,13168
5823.69,5823
6917.89,6578
5551.3,5942
7773.44,7763
57405.0,57405
2074.0,2074
46712.71,47586
3032.53,3012
9456.01,4953
3944.59,4007
52070.77,51875
77428.145,74097
11480.52,11389
71010.4,69168
6548.73,3961
6882.63,6489
4109.03,3916
5322.0,5322
60312.68,60396
34619.04,34460
14624.62,13734
71811.73,64185
1785.624166666667,1776
53164.0,53164
15803.84,18041
5953.02,5953
56476.0,56476
2621.6,2821
4568.5,4348
12482.97,12468
1810.36,1776
17546.22,14631
6867.48,6832
4957.28,4756
3100.0,3100
8550.79,9214
4501.63,4499
11161.54,11205
4364.9,4387
2345.71,2339
54942.92,54841
10337.25,9840
6695.79,6534
7692.0,7593
5412.94,5176
11121.04,11129
3911.65,3393
2362.16,2361
2403.65,2250
2462.75,2464
53251.01,53152
6711.0,6711
59033.0,59033
40435.0,40435
4903.36,4789
45257.0,45257
45883.0,45883
8379.35,8201
86822.22666666665,89897
6563.44,5850
64566.43,69113
8922.41,5207
15293.7,15405
59621.64,54777
11523.05,11488
4660.26,4660
3416.89,3393
14232.93,15583
6072.81,5915
13371.75,14419
11327.94,11129
62524.0,62524
1443.0,1443
11617.28,11520
6831.415,11319
9395.85,12847
3500.5,3393
70050.24,62617
37985.0,37985
5894.79,6314
68222.6,67769
2228.0,2228
74497.73,64271
5211.09,5102
7480.66,7425
2410.0,2410
3100.0,3100
6243.271,4545
6296.0,6296
53377.04,53164
3394.52,3291
5542.58,4338
5835.25,5817
27912.96,27792
34648.84,32859
4028.315,4020
2614.0,2614
58578.0,58315
32205.27,31896
7785.83,7426
1620.59,1543
6354.76,6577
6122.51,5985
2477.92,2464
9827.59,7958
4721.325,4044
5392.51,4672
58732.94,64407
4782.35,4792
49725.0,49725
4260.79,3175
55132.73,54608
5336.96,5276
5548.043333333332,5550
10152.18,5955
60217.23,60260
4209.0,4209
7524.5,7425
3362.79,2994
6584.98,6578
4347.34,4173
52287.0,52287
6221.67,6200
4531.36,4363
5522.046666666667,6111
44175.425,44144
9974.73,9090
53278.24,53164
6131.45,6122
49083.5,48851
2645.12,3549
6803.4,7232
5581.67,5042
64829.28,60160
4930.94,4827
6747.46,8475
2074.0,2074
14719.07,23313
3199.44,3072
11223.17,9775
2410.0,2410
2637.77,2637
13772.36,23499
5948.38,6093
3263.98,3219
4186.53,3948
3575.67,3609
31432.0,31432
3441.72,3127
3348.0,3306
17419.66,17670
42906.72,42457
8780.17,8816
12288.29,13103
13575.0,13168
5262.71,4893
62481.49,60978
58125.0,58125
37985.0,37985
53440.0,53440
37101.16,58921
4289.38,4230
60905.02666666666,49725
3409.19,3219
6913.79,6324
1818.27,1755
3227.47,3090
5506.77,5602
2523.7491666666665,5410
16684.56,19144
10963.06,6008
10957.83,10425
56813.24,63277
36696.04,36565
6321.88,6158
55709.11949999999,51817
5644.6691666666675,5805
9684.08,11995
4616.05,3705
5786.9,5734
8799.55,8669
22152.0,22152
54608.0,54608
49553.0,49553
46396.75,45805
6617.69,7360
4336.62,4338
53164.0,53164
3929.66,3644
5384.94,6518
5988.34,5910
42521.0,42521
5684.58,4105
58712.78,55502
49566.6,45776
13409.7,8358
4612.0,4612
45162.5,45185
5322.0,5322
2960.0,2960
32124.480000000003,22152
54684.0,54684
41281.0,41281
8194.16,7959
4518.92,4325
58499.2,68362
4672.0,4672
7464.153333333334,6296
4315.49,4086
44144.0,44144
3418.57,3393
6628.41,6488
8592.675,8391
7704.02,7423
51809.32,61485
3881.22,3729
54203.64,55377
60396.0,60396
58452.15,55983
5531.87,5523
4304.92,4086
2344.0,2276
66816.54000000001,62591
7721.48,6488
35275.99428571429,32923
52715.0,59290
5515.38,5565
61293.4,60978
14394.68,13054
5103.86,5276
39913.62,41974
51707.0,51707
52920.64,51875
47483.52,47657
7975.18,7959
54684.0,54684
1105.0,1105
2700.0,2700
7792.33,7412
4374.26,2359
2790.6,2336
53586.12,53152
5979.55,5955
2207.48,2939
4007.1,3999
60319.92083333334,60508
4752.81,4755
55511.62,55502
5620.33,5894
5634.16,5955
11181.6125,10689
54684.0,54684
3996.18,4571
52175.0,52175
6512.82,6869
7618.235,7385
10139.13,9828
16389.74,15014
14017.2,17013
5021.57,4634
4111.0,4111
8670.15,8805
4327.5,3862
6150.59,5937
10851.27,13188
65211.03,61404
4266.28,4205
3040.91,3911
4404.18,4359
51595.0,51595
60292.06,60396
6503.89,6521
1443.0,1443
5825.82,5840
55415.33,54896
7551.400238095238,7212
56853.24,55983
5633.56,5748
10445.86,9105
4637.0,4637
2348.45,2339
4503.11,4500
43165.0,43165
8227.58,7411
27864.0,27864
7029.4,7021
10444.531333333332,10199
3739.51,3734
6132.06,5954
7120.91,7126
6040.4775,6015
2247.44,2309
49725.0,49725
6541.06,5955
12339.52,11520
1562.4,1548
6001.18,5954
22140.0,22140
2575.56,2477
5940.65,5888
3472.38,3393
3085.76,3014
4404.47,3393
7747.6375,7352
49310.6,56053
67242.56,67004
3484.41,3346
10468.2,6489
5102.03,5060
3112.67,3014
14439.02,14335
1984.15,1890
60396.0,60396
7046.68,7081
4650.65,4556
3336.0,3336
10505.19,12884
1714.0,1714
32923.0,32923
32859.0,32859
4145.77,4570
5117.0,8414
3646.0,3646
2838.57,2823
6422.3,6461
2050.0,2050
4635.34,4187
4907.59,4896
66788.224,66928
3466.0,3466
10068.89,10058
52175.0,52175
74555.67,74844
67890.27,62524
58239.91,56588
6959.72,7084
4433.08,4663
2700.0,2700
61234.04,60978
2959.52,2966
4633.36,4417
13073.89,11129
52460.82,52287
23437.35,21213
3874.41,3209
59891.8,69065
2756.09,2738
14059.93,20381
11447.01,9798
45600.0,45600
65262.05,60978
61977.8,61933
6539.19,6461
11367.1,11164
4519.05,3862
57371.7,48234
2105.0,2105
58125.0,58125
49758.56,49553
5388.55,4272
61135.21,55502
12043.3625,12605
4990.07,4417
9985.56,10154
5984.11,5955
7518.33,7412
2829.14,2767
7742.26,7584
3471.85,3393
10669.03,10593
6395.0,6395
68303.0,68303
33455.68,32609
4504.69,4202
13890.42,14314
5500.61,5822
3113.37,3090
3927.93,3302
2744.5375,2910
7395.97,6699
60232.17,64890
9734.005,9198
4667.75,4658
60517.45,65428
61963.72,56273
9430.73,9349
60907.77,55983
8291.54,8111
7145.47,6302
69188.0,69244
6056.98,5875
51595.0,51595
3366.94,3330
57252.36,57081
4755.0,4755
6063.93,6067
2339.0,2339
13375.4975,13054
5995.38,5293
59033.0,59033
49683.72,49553
5761.0,5761
7632.076666666666,4672
13897.35,13968
5092.11,5102
55206.13,62067
6871.96,8055
57091.51,57057
5682.56,5610
2535.25,2436
13494.51,13524
5812.78,4174
4466.89,4637
7024.4,5465
5223.09,5148
57992.0,57992
5950.94,5632
5943.03,5943
63797.8,61933
4010.72,3999
4117.95,4111
4467.68,4789
51707.0,51707
2446.36,2339
5143.36,4909
49725.0,49725
4431.45,4359
53275.1,52175
5232.0,5967
3093.38,3000
11129.0,11129
44193.32,44069
5183.61,5019
54040.8,53164
5949.0,5949
1932.83,1543
62204.0,58315
4057.25,4149
4499.99,4500
10311.27,7950
2250.42,2228
43270.83,42521
11839.85,11129
65902.172,53164
60260.0,60260
61796.92,61583
14232.34,15065
37929.0,37929
52460.27,52175
52287.0,52287
2992.23,2480
4016.9,3998
2074.0,2074
5411.06,5871
5464.01,5227
5782.21,6585
8331.53,8803
5002.43,4453
76379.4,66928
32859.0,32859
4578.23,4165
6393.95,7568
7452.3,7635
4452.63,4867
9308.6,9201
54684.0,54684
24056.0,24056
8262.87,7142
4917.07,4202
5397.55,5293
2904.9,2821
10131.69,10461
5904.17,5093
4485.01,4161
60978.0,60978
7706.95,7922
6036.75,6219
11352.57,10744
6711.0,6711
65224.75,64890
4342.48,4337
66676.2,87917
63670.69,62188
65529.0,65529
33037.92,32859
4690.66,4593
7836.17,7425
8387.76,7958
72881.68,64831
4999.56,4977
8023.79,7877
11466.68,11520
60014.73,60396
3905.59,3971
48851.0,48851
35490.0,35490
5582.85,5467
5075.71,4768
3268.95,3269
3336.0,3336
5591.34,5042
10443.24,5954
10772.67,11319
64872.1,60365
60396.0,60396
62213.0,62045
63296.64,61899
3736.65,3866
4500.0,4500
13065.848999999998,12150
3381.0,3381
4656.8,5126
78622.63,69265
5636.88,5228
47627.5,47395
1460.85,1548
24122.0,24122
3885.87,6764
31688.17,31528
4247.47,4086
26681.55,29764
2435.33,2409
55226.68,54777
3861.61,3346
5949.0,5949
7611.72,7584
11941.3,12150
5581.98,5173
4111.0,4111
11094.91,9277
49439.17,49613
4417.34,4413
57453.0,57453
6458.71,6752
6486.0,6262
5507.0,5507
11520.0,11520
2882.73,2738
69988.0565,60508
2752.34,2336
45958.87,41281
49613.0,49613
5949.0,5949
5950.23,6123
4328.33,4960
5191.96,5103
6304.21,7557
18023.645000000004,15374
3252.09,3428
56253.04,53164
4502.0,4502
6464.03,6461
10062.83,10605
2476.0,2476
11374.51,11488
45745.46,45371
5413.72,6557
54841.0,60553
4126.07,4099
3603.15,3553
6413.69,6082
9369.4,6131
9277.0,9277
70217.53,70431
4500.0,4500
69519.88,72125
2283.12,2250
5973.78,6690
13617.9,13725
3612.16,3266
8076.58,7774
3958.9,3458
2098.0,2098
2477.0,2477
6165.64,6133
4111.0,4111
62188.0,62188
6766.76,8386
53209.0,53209
4429.64,4491
74040.29,74844
65252.56,61404
49725.0,49725
11747.22,20244
68564.2,67769
19397.21,19235
6739.37,5943
52486.36,52175
7595.42,7328
2339.87,1543
61527.68,68303
4126.76,4439
6244.98,7579
73656.99999999999,89897
61933.0,61933
5912.49,5726
9416.76,9703
61812.33,60160
6074.84,5441
2601.27,2637
4322.35,4099
4457.62,4454
3456.15,2723
14495.74,10849
1776.0,1776
37985.0,37985
13673.83,14094
4032.04,2465
55290.13,53152
58563.45,60508
3837.58,3754
14086.7475,13524
6233.0,6067
1790.25,1776
6585.43,6578
70175.34,76681
5530.21,5617
4892.4,4239
59833.99,63277
14694.12,5954
11029.51,11458
6631.1,6271
54481.0,54481
2729.71,2738
6556.92,6332
14250.31,12413
5736.85,5761
6677.01,4811
10608.85,7424
3032.48,4139
31432.0,31432
5954.94,5955
3715.68,3727
56653.73,56702
3490.0,3471
4297.85,4678
5995.2375,5949
4684.81,4658
7272.38,9616
3613.0,3646
6407.54,4678
5908.4,5942
6443.3,6437
5899.14,5950
7030.8,6909
10056.2,9798
10066.29,9201
44485.24,39555
2475.34,2476
4938.06,4359
12853.21,11868
4337.0,4337
22152.0,22152
4500.0,4500
45952.34,47408
57464.59,59033
49106.84,49553
1890.0,1890
60347.58,56588
78465.12,87917
5173.788,5098
54481.0,54481
4630.38,5375
60966.05,71206
5940.98,5660
5451.2,5441
66937.72,74015
60324.82,54115
3491.11,3919
32923.0,32923
8058.97,7753
35645.53,35490
7425.37,6104
49553.0,49553
13219.65,15058
7889.48,8442
6699.68,6488
13246.356000000002,12318
45257.0,45257
57447.22,57017
4417.0,4417
64958.25,57992
6387.97,5603
5258.35,5378
4028.0,4028
51372.0,51372
10508.65,9264
51817.0,51817
60447.73,60508
4315.77,4105
5585.27,6171
40228.97,37985
3320.93,3191
3916.0,3916
53903.495,52287
60453.03,60365
5120.33,5103
4505.92,4359
55983.0,55983
61106.72,60260
3020.0,3020
5327.6,6964
9888.55,9879
4978.29,4149
4726.45,4724
8712.38,9231
64090.6,64113
5468.0,5507
4198.94,6222
5244.4,5231
6450.0,6450
7939.21,7950
10531.48,10069
61583.0,61583
2682.3,2480
57314.97,76057
4496.0,4496
7690.02,7692
60537.04,60160
31982.0,31982
2124.0,2124
40435.0,40435
57528.46,65033
57057.0,57057
10076.93,10058
7443.023333333333,9359
61016.84,57565
7563.34,6500
36577.0,36577
5817.0,5817
53209.0,53209
4746.7,4363
12811.306666666667,9000
27457.813333333335,34472
6376.88,6389
4290.93,4111
5436.97,5392
18146.22,15939
48739.76,47395
45883.0,45883
8578.0,8578
9913.9,9277
4299.42,4229
49773.85,47844
4481.86,4020
57248.98,56588
4502.25,3971
39638.47,39499
3500.38,4729
1934.02,1543
52063.0,52063
66302.92,73481
4751.47,4819
10868.78,10744
4827.73,4387
10618.26,10425
31091.74,29764
3914.87,3968
4521.62,4193
60208.705,59948
53832.06666666666,56588
3723.1,3831
64871.8,62188
3566.28,3572
61900.9,53164
3904.083333333334,3595
5339.3,5219
4265.02,4173
60508.0,60508
48692.88,51384
3314.64,3361
4796.64,4784
5061.46,4979
52115.8,51819
13954.09,12658
58188.25,57920
5133.29,5060
3248.55,2968
61236.5,78898
2269.45,2203
3965.4,4071
4583.12,4500
44595.9375,44280
4253.42,4914
47076.15,38166
6220.99,6172
37987.28,37985
11033.85,9904
6592.43,6502
60978.0,60978
6075.14,6082
58191.8,58315
4388.97,3860
2610.29,3010
7408.57,7474
5743.77,5696
4448.44,4417
5284.15,5820
66089.336,60508
1797.78,2353
45693.0,45693
12444.73,11366
58462.81,60410
44622.12,45097
11962.27,12118
4586.63,4266
6533.6475,7053
9157.43,9175
54608.0,54608
4680.72,4612
7391.2,7474
72461.8,61049
60902.52,54841
9201.0,9201
5669.31,5632
67234.76,65529
6441.87,6450
4589.0,4589
73184.83,74956
1979.83,1966
5322.0,5322
12744.78,12138
66593.83,60978
7829.81,6464
4324.82,4336
14314.1,13054
55949.87,54841
14190.08,17859
4632.85,4416
4443.605,3644
4043.04,3979
78377.16,79548
4917.96,4637
6460.94,6461
23180.85,22152
4091.2,4071
43475.94,43376
4492.86,4190
4358.866666666666,4152
58435.8,56991
6450.0,6450
7048.067857142857,7421
6569.543333333334,6568
7035.07,7362
15449.71,15014
6805.086666666666,4792
4637.95,4550
4105.46,4821
66147.17,66063
45657.05,45918
3420.04,3379
10253.48,10243
66505.96,61933
4947.5,4053
22152.0,22152
47545.0,47545
3249.9,3611
4450.37,4417
6092.43,6360
2925.255,2750
1515.45,1548
5120.4,7106
53152.0,53152
6688.35,6821
46041.82,45883
37287.38,37256
7550.2,7576
2519.15,2480
64758.76,62045
6040.91,6060
6859.989999999999,4792
6415.31,6395
4096.11,3191
7523.03,7221
3429.3275,3001
75754.18,68743
6115.17,6024
9162.12,8842
6617.29,5635
7064.48,7135
9295.88,9785
6182.31,6186
3847.31,4027
5215.58,7237
41269.0,41269
7113.25,7310
3835.53,3610
54099.08,49613
6331.18,6308
17982.25,20308
5385.27,6037
6391.4,6412
37985.0,37985
13682.51,13168
9747.7075,8192
6551.16,6461
3765.94,3734
65529.0,65529
11152.58,9284
3585.495,3633
11257.72,10248
6151.68,6075
10656.98,10668
31597.33333333333,22152
4898.95,5152
3033.0,3000
39547.0,39547
4005.92,3988
26434.82666666667,22140
68116.52,72125
62965.97,68112
11072.36,11129
29593.1,28872
8349.29,12728
7782.23,7900
5550.05,5942
6495.76,6450
6347.54,5503
12816.59,22377
4641.27,4923
5881.0,5881
13604.31,13871
10337.07,12033
58109.35,56702
3497.56,3334
3863.37,3862
6128.62,5280
6172.9,6172
22151.88,22152
10615.95,9945
5512.89,5320
6554.61,6577
54608.0,54608
5625.35,6092
5887.52,5892
5888.0,5888
4357.24,4071
2230.76,2203
5503.5,5060
59582.65,51384
60391.04,60232
7615.89,7584
73717.53,79629
9133.49,8276
7812.23,7425
3847.34,3860
46695.14,45435
66112.84,62045
7617.84,7610
51345.0,51345
63790.4,63544
2851.72,2836
53226.37,53152
6450.0,6450
7370.4,7084
8345.82,7425
3962.69,3971
23898.0,23898
37912.12,37846
6576.57,6568
3104.42,3280
10807.33,12686
4034.27,3979
7640.16,7584
5954.0,5954
7502.49,7501
7024.84,6578
5949.0,5949
39623.0,39623
2462.75,2464
4790.84,4792
16190.22,13063
7522.6,8063
4534.32,6219
74233.88,69244
8164.72,13673
6602.72,7325
69500.64,66928
2444.5,3191
4501.0,4501
4402.02,4389
51875.0,51875
8185.61,9771
5395.77,4856
54853.95,51697
2126.11,2124
5780.592666666666,5322
45693.0,45693
4756.34,4784
4452.0,4452
7198.02,7284
45995.0,45995
16660.980571428572,11586
4501.0,4501
25606.82,25600
11499.64,10961
61873.0,61873
4581.99,4149
65776.0,65832
9501.199333333334,9090
5116.82,5736
2050.44,1998
41113.0,41113
7734.49,7237
